,x,y,z,w,ra,dec,redshift,dist
87,-48.18,-94.08,-9.83,35.569,1.5639,-52.778,,106.15549
88,-47.8,-89.49,-10.11,35.729,1.6199,-53.8273,,101.95838
89,19.1,-53.97,10.74,34.039,1.6185,-3.7162,,58.248764
90,52.07,-44.47,21.56,34.963,1.6671,26.1541,,71.78927
91,22.96,-42.87,11.22,34.693,1.6682,5.1134,,49.908787
92,-43.88,-91.99,-8.64,35.989,1.7016,-51.1035,,102.28521
93,24.37,-39.48,11.43,34.142,1.7063,8.6285,,47.78297
94,48.64,-53.11,20.94,35.083,1.7097,19.3219,,75.00004
95,22.56,-42.41,11.02,34.383,1.6989,4.9367,,49.28491
96,-43.06,-92.98,-8.3,35.304,1.7196,-50.415,,102.80241
97,33.93,-15.24,13.0,34.243,1.724,41.7405,,39.40181
98,29.62,-39.02,13.19,34.543,1.7567,14.1064,,50.73343
99,3.72,-97.24,8.28,35.813,1.7927,-21.7865,,97.66276
100,29.18,-38.91,12.99,34.113,1.7982,13.7685,,50.340843
101,31.21,-25.15,12.71,34.263,1.8162,27.7079,,42.049145
102,53.19,-42.92,21.65,34.773,1.8213,27.678,,71.69397
103,35.68,-23.86,14.17,34.383,1.8312,32.6092,,45.201225
104,0.07,-0.03,0.03,29.51,1.9336,40.8759,,0.08185353
105,36.19,-23.74,14.21,34.453,2.0069,33.0708,,45.55467
106,31.85,-49.33,14.42,34.563,2.0283,9.7177,,60.463276
107,55.77,-93.08,25.64,35.973,2.0614,7.7802,,111.49703
108,61.72,-50.99,24.9,34.303,2.0424,27.0038,,83.84121
109,31.8,-25.78,12.8,33.083,2.0454,27.5278,,42.89159
110,0.07,0.39,0.0,27.48,2.0563,-34.5787,,0.39623225
111,-1.14,-12.03,0.41,31.383,2.0869,-29.9153,,12.090848
112,-10.29,-64.15,0.65,35.083,2.1441,-33.8578,,64.9733
113,18.89,-84.2,12.09,35.729,2.1429,-10.9493,,87.13576
114,69.19,-27.49,25.8,35.423,2.1496,44.0966,,78.79465
115,-43.29,-93.05,-8.92,35.153,2.167,-50.6194,,103.014046
116,34.25,-18.73,13.09,33.993,2.1771,37.4479,,41.17309
117,30.02,-27.11,12.15,33.993,2.2053,24.5401,,42.23476
118,36.42,-23.53,14.14,33.923,2.1989,33.4334,,45.6072
